"View Cart","Zum Warenkorb",module,Magento_Theme
View Cart,Zum Warenkorb,module,Magento_Theme
View Cart,Zum Warenkorb,module,Magento_Checkout
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Zulässige Werte: ""paypal"", ""primary"" (Standard), your_custom_value (ein benutzerdefinierter Zahlungsseiten-Stil von Ihrem Händler-Konto-P",module,Magento_Paypal
"The background color for the checkout page around the header and payment form.","Die Hintergrundfarbe der Checkout-Seite rund um den Header und das Zahlungsformular..",module,Magento_Paypal
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Die Hintergrundfarbe für den Header der Checkout-Seite.HTML-hexadezimaler Farbcode in ASCII mit sechs Zeichen in Groß- und Kleinschreibung.",module,Magento_Paypal
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Das Bild in der oberen linken Ecke der Checkout-Seite. Maximale Größe 750x90 Pixel. <strong style=""color:red"">https</strong> ausdrücklich gewünscht.",module,Magento_Paypal
"Will appear as a payment option only for customers who have at least one active billing agreement.","Wird als Zahlungsoption nur für Kunden erscheinen, die mindestens eine aktive Abrechnungsvereinbarung haben.",module,Magento_Paypal
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Zahlungen via PayPal akzeptieren!</a>",module,Magento_Paypal
"<p>Help us improve Magento Admin by allowing us to collect usage data.</p>
<p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin and related products and services.</p>
<p>You can learn more and opt out at any time by following the instructions in <a href=""https://docs.magento.com/m2/ce/user_guide/stores/admin.html"" target=""_blank"" tabindex=""0"">merchant documentation</a>.</p>","<p>Helfen Sie uns, Magento Admin zu verbessern, indem Sie uns erlauben, Nutzungsdaten zu sammeln.</p>
<p>Alle Nutzungsdaten, die wir zu diesem Zweck sammeln, können nicht dazu verwendet werden, Sie individuell zu identifizieren und werden nur dazu verwendet, den Magento Admin und verwandte Produkte und Dienstleistungen zu verbessern.</p>
<p>Sie können jederzeit mehr erfahren und sich abmelden, indem Sie den Anweisungen in <a href=""https://docs.magento.com/m2/ce/user_guide/stores/admin.html"" target=""_blank"" tabindex=""0"">Händlerdokumentation</a>.</p> folgen.
",module,Magento_AdminAnalytics
